x,y,z
-160,64,-1008
-160,64,-992
-160,64,-992
-160,64,-992
-160,64,-992
-160,32,-976
-176,32,-1008
-176,32,-1008
-160,48,-992
-160,48,-992
-160,48,-992
-160,32,-992
-160,32,-992
-160,32,-992
-160,32,-992
-176,32,-992
-160,48,-992
-160,48,-992
-160,80,-1008
-160,80,-1008
-144,64,-1040
-144,48,-1104
-144,48,-1104
-112,112,-1136
-112,112,-1136
-16,32,-1008
-16,32,-1008
144,-224,-944
480,-592,-864
480,-592,-864
768,-976,-864
768,-976,-864
928,-1408,-976
928,-1792,-1040
928,-1792,-1040
768,-2032,-1072
768,-2032,-1072
592,-2032,-1184
608,-2032,-1472
608,-2032,-1472
928,-2032,-1456
928,-2032,-1456
1296,-1312,-1312
1456,-800,-1136
1456,-800,-1136
1408,-672,-1072
1408,-672,-1072
1456,-800,-1136
1888,-960,-1152
1888,-960,-1152
2048,-912,-800
2048,-912,-800
2048,-352,-496
2048,352,-416
2048,352,-416
2048,1088,-480
2048,1776,-464
2048,1776,-464
1568,2048,-416
1568,2048,-416
960,2048,-336
592,2000,-304
592,2000,-304
368,1088,-480
368,1088,-480
208,528,-800
112,288,-992
112,288,-992
-16,272,-1040
-16,272,-1040
-80,304,-880
-80,304,-880
-128,304,-832
-128,304,-832
-160,368,-800
-176,368,-816
-176,368,-816
-176,368,-848
-176,368,-848
-176,352,-848
-144,320,-864
-144,320,-864
-128,272,-928
-96,320,-912
-96,320,-912
-48,368,-896
-48,368,-896
16,400,-944
64,432,-960
112,432,-896
112,432,-896
144,448,-848
144,448,-848
160,464,-848
160,464,-848
176,448,-848
176,416,-848
176,416,-848
160,464,-912
160,464,-912
160,480,-896
160,480,-816
160,480,-816
128,464,-736
128,464,-736
80,416,-752
0,288,-816
0,288,-816
-48,256,-912
-48,256,-912
-64,240,-848
-144,240,-656
-144,240,-656
-256,192,-624
-256,192,-624
-288,224,-608
-288,224,-608
-352,112,-640
-352,112,-640
-336,-128,-720
-336,-320,-752
-336,-320,-752
-272,-336,-800
-240,-144,-832
-240,-144,-832
-224,112,-832
