x,y,z
-592,-16,-768
-592,-16,-768
-592,-16,-768
-592,-16,-768
-592,-16,-768
-608,-16,-752
-608,-16,-752
-624,0,-800
-624,0,-800
-624,0,-800
-624,0,-784
-624,0,-784
-640,-16,-768
-640,-16,-768
-640,0,-736
-640,-16,-720
-640,-16,-720
-640,-32,-688
-640,-32,-688
-624,-16,-640
-624,-16,-640
-608,0,-576
-608,-16,-480
-608,-16,-480
-608,-32,-384
-608,-32,-384
-592,-32,-304
-560,0,-288
-560,0,-288
-528,-32,-336
-496,-48,-416
-496,-48,-416
-432,-32,-560
-432,-32,-560
-416,-32,-624
-368,0,-576
-368,0,-576
-304,64,-640
-304,64,-640
-256,80,-688
-256,80,-688
-192,96,-752
-128,80,-752
-128,80,-752
-16,64,-736
-16,64,-736
96,48,-832
176,32,-960
176,32,-960
240,32,-1008
240,32,-1008
304,48,-1024
304,48,-1024
400,64,-1008
480,64,-1056
480,64,-1056
512,32,-1104
560,0,-1040
560,0,-1040
656,-32,-816
656,-32,-816
704,-80,-624
800,-64,-672
800,-64,-672
992,48,-704
992,48,-704
1120,144,-672
1152,128,-848
1152,128,-848
1184,144,-976
1184,144,-976
1200,48,-1008
1200,48,-1008
1200,16,-1072
1184,32,-1136
1184,32,-1136
1168,64,-1104
1168,64,-1104
1152,112,-944
1152,112,-944
1120,80,-800
1120,80,-800
1056,32,-800
976,-64,-672
976,-64,-672
928,-128,-448
928,-128,-448
880,-112,-320
864,-96,-320
864,-96,-320
864,-112,-288
864,-112,-288
864,-64,-320
912,-16,-368
912,-16,-368
928,32,-416
928,32,-416
944,80,-448
976,96,-480
976,96,-480
976,64,-512
976,64,-512
944,48,-560
928,0,-560
928,0,-560
896,-32,-576
880,-64,-608
880,-64,-608
880,-64,-608
864,-48,-656
864,-48,-624
864,-48,-624
880,-48,-624
880,-48,-624
880,-32,-672
880,0,-736
880,0,-736
880,80,-864
880,80,-864
880,208,-992
880,208,-992
928,192,-896
896,112,-816
896,112,-816
800,80,-944
800,80,-944
736,64,-1136
