x,y,z
-288,48,-944
-288,48,-960
-288,48,-960
-320,32,-992
-320,32,-992
-336,-16,-992
-336,0,-960
-336,0,-960
-352,0,-960
-352,0,-960
-384,-48,-880
-384,16,-832
-384,16,-832
-384,64,-816
-384,64,-816
-368,48,-848
-368,-48,-608
-368,-48,-608
-352,0,-240
-352,0,-240
-320,112,-64
-256,128,96
-256,128,96
-224,16,416
-224,16,416
-208,-112,560
-32,-144,240
-32,-144,240
144,-224,-80
144,-224,-80
368,-224,-160
672,48,-416
672,48,-416
944,160,-592
1264,-96,-640
1264,-96,-640
1696,-272,-576
1696,-272,-576
2048,528,-1440
2048,528,-1440
2048,624,-1616
1920,480,-1696
1920,480,-1696
1696,224,-1360
1696,224,-1360
1584,48,-768
1584,416,-416
1584,416,-416
1728,688,-416
1664,880,-1520
1664,880,-1520
1488,288,-1232
1488,288,-1232
1232,-224,-720
1056,-144,-464
1056,-144,-464
960,0,-192
960,0,-192
896,-16,-16
864,0,16
864,0,16
896,0,224
896,0,224
960,128,0
1040,64,-48
1040,64,-48
1104,48,-160
1104,48,-160
1136,96,-160
1184,160,-240
1184,160,-240
1152,144,-224
1152,144,-224
1152,112,-272
1152,80,-352
1152,80,-352
1184,80,-512
1184,80,-512
1248,128,-592
1280,96,-432
1280,96,-432
1280,176,-464
1280,224,-544
1280,224,-544
1280,272,-736
1280,272,-736
1312,288,-880
1312,288,-880
1280,80,-768
1184,-16,-800
1184,-16,-800
1152,80,-864
1136,224,-912
1136,224,-912
1072,192,-752
1072,192,-752
896,48,-624
784,64,-896
784,64,-896
720,16,-912
720,16,-912
576,-112,-688
432,-112,-704
432,-112,-704
352,-96,-784
352,-96,-784
272,-80,-816
160,-48,-752
160,-48,-752
80,-96,-656
80,-96,-656
0,-64,-736
-32,0,-672
-32,0,-672
-144,-64,-768
-144,-64,-768
-192,-80,-736
-224,-48,-704
-224,-48,-704
-224,0,-704
-224,0,-704
-240,32,-768
-240,32,-816
-240,32,-816
