x,y,z
624,-32,-816
624,-32,-816
624,-32,-800
624,-32,-800
624,-32,-800
624,-48,-800
640,-32,-800
640,-32,-800
640,-48,-800
640,-48,-800
640,-32,-800
640,-32,-800
640,-32,-784
624,-32,-768
624,-32,-768
624,-48,-752
608,-64,-768
608,-64,-768
624,-64,-784
624,-64,-784
640,-64,-800
640,-64,-816
640,-64,-816
640,-80,-784
640,-80,-784
624,-96,-688
576,-112,-592
576,-112,-592
560,-128,-512
560,-128,-512
592,-112,-464
688,-16,-560
688,-16,-560
800,144,-784
800,144,-784
1056,240,-1264
1536,592,-1984
1536,592,-1984
2048,1056,-2048
2048,1056,-2048
2048,1328,-2048
2048,1200,-2048
2048,1200,-2048
2048,1072,-2048
2048,1072,-2048
2048,832,-2048
2048,240,-2048
2048,240,-2048
2048,-240,-2048
2048,-576,-2048
2048,-576,-2048
2048,-1008,-1200
2048,-1008,-1200
2048,-944,-816
2048,-736,-448
2048,-736,-448
2048,-1008,304
2048,-1008,304
2048,-976,1232
2048,-608,2032
2048,-608,2032
960,352,2032
960,352,2032
816,528,1440
816,528,1440
656,544,1072
656,544,1072
496,384,864
256,256,896
256,256,896
32,224,848
32,224,848
-128,272,736
-288,320,672
-288,320,672
-448,320,640
-448,320,640
-608,304,656
-608,304,656
-736,256,688
-816,256,640
-816,256,640
-864,272,576
-864,272,576
-880,320,432
-896,336,384
-896,336,384
-912,368,416
-912,368,416
-944,320,448
-944,304,480
-944,304,480
-944,288,464
-944,288,464
-912,304,448
-896,272,416
-896,272,416
-880,240,432
-880,240,432
-896,208,496
-880,192,496
-880,192,496
-864,192,496
-864,192,496
-848,208,480
-832,208,448
-832,208,448
-832,208,464
-832,208,464
-832,208,480
-832,208,480
-832,208,544
-832,208,576
-832,208,576
-832,208,576
-832,208,576
-816,208,576
-816,208,576
-832,224,592
-832,208,592
-832,208,592
-816,208,576
-816,208,576
-800,176,576
-816,192,560
-816,192,560
