x,y,z
-64,32,-976
-64,32,-976
-96,0,-960
-96,0,-960
-96,0,-1040
-112,-16,-1040
-112,-16,-1040
-128,-32,-1008
-144,-32,-1040
-144,-32,-1040
-144,0,-1008
-144,0,-1008
-144,32,-1040
-144,32,-1040
-160,32,-1040
-176,32,-992
-176,32,-992
-192,32,-992
-192,32,-992
-208,32,-1008
-224,16,-976
-224,16,-976
-224,32,-1008
-224,48,-1008
-224,48,-1008
-256,32,-960
-256,32,-960
-272,32,-928
-272,32,-928
-288,32,-896
-288,32,-880
-288,32,-880
-320,32,-816
-336,48,-672
-336,48,-672
-352,48,-496
-352,48,-496
-368,48,-368
-384,16,-112
-384,16,-112
-352,64,-48
-288,80,-96
-288,80,-96
-176,48,-176
-176,48,-176
-32,-16,-320
-32,-16,-320
208,48,-496
432,48,-640
432,48,-640
592,16,-896
704,112,-1072
704,112,-1072
816,256,-992
816,256,-992
896,48,-656
896,48,-656
1104,48,-352
1360,400,-736
1360,400,-736
1536,320,-1280
1504,160,-2048
1504,160,-2048
1424,128,-1344
1424,128,-1344
1376,288,-1024
1216,624,-496
1216,624,-496
992,368,-368
992,368,-368
864,240,-336
864,240,-336
832,192,-288
848,224,-320
848,224,-320
912,224,-384
944,240,-320
944,240,-320
960,256,-416
960,256,-416
944,256,-432
928,256,-416
928,256,-416
912,256,-384
912,256,-384
912,240,-368
896,208,-352
896,208,-352
912,256,-400
912,256,-400
912,272,-368
928,272,-400
928,272,-400
912,272,-432
912,272,-432
912,240,-384
912,224,-368
912,224,-368
912,240,-448
928,256,-512
928,256,-512
928,256,-496
928,256,-496
944,288,-544
944,288,-544
976,336,-576
992,336,-592
992,336,-592
976,304,-608
976,304,-656
976,304,-656
960,320,-656
960,320,-656
928,336,-592
912,416,-688
912,416,-688
880,400,-704
880,400,-704
816,368,-688
720,272,-560
720,272,-560
704,336,-688
704,336,-688
720,400,-736
704,368,-816
