x,y,z
-304,16,-912
-304,32,-928
-304,32,-928
-304,32,-928
-304,32,-928
-320,32,-944
-320,48,-944
-320,48,-944
-320,48,-960
-320,48,-960
-336,32,-928
-336,32,-944
-336,32,-944
-352,48,-960
-352,48,-960
-352,96,-1136
-400,144,-896
-400,144,-896
-368,176,-720
-368,176,-720
-400,128,-640
-400,128,-640
-432,64,-496
-416,-32,-288
-416,-32,-288
-416,-144,-64
-416,-144,-64
-208,-32,-96
-208,-32,-96
-96,16,-208
-96,16,-208
-16,16,-256
96,-16,-304
96,-16,-304
224,16,-512
352,-16,-560
352,-16,-560
432,-96,-672
432,-96,-672
480,-304,-608
656,-272,-672
656,-272,-672
896,-416,-560
896,-416,-560
1232,-112,-880
1440,112,-816
1440,112,-816
1632,352,-784
1632,352,-784
1744,512,-672
1904,592,-960
1904,592,-960
1760,336,-960
1760,336,-960
1728,-80,-816
1680,-160,-800
1680,-160,-800
1792,-16,-1088
1792,-16,-1088
1856,352,-1632
1744,432,-1216
1744,432,-1216
1376,352,-400
1376,352,-400
1136,240,-128
1072,32,-176
1072,32,-176
1120,-80,-304
1184,-64,-416
1184,-64,-416
1264,-16,-464
1264,-16,-464
1344,32,-528
1408,112,-576
1408,112,-576
1456,128,-560
1456,128,-560
1392,48,-448
1408,96,-576
1408,96,-576
1376,128,-640
1376,128,-640
1312,144,-736
1248,128,-800
1248,128,-800
1168,16,-736
1168,16,-736
1024,-80,-560
928,48,-672
928,48,-672
848,112,-800
848,112,-800
736,32,-672
592,-16,-560
592,-16,-560
512,80,-672
512,80,-672
464,96,-768
368,48,-704
368,48,-704
304,64,-672
304,64,-672
144,-16,-768
144,-16,-768
64,-16,-688
16,32,-624
16,32,-624
-16,112,-720
-96,128,-624
-96,128,-624
-160,80,-576
-160,80,-576
-224,48,-736
-192,128,-832
-192,128,-832
-208,128,-800
-208,128,-800
-240,144,-800
-240,144,-800
-256,112,-848
-336,-16,-800
-336,-16,-800
-352,16,-784
