x,y,z
-656,48,-736
-672,48,-736
-672,48,-736
-672,48,-736
-672,48,-736
-672,48,-736
-672,32,-736
-672,32,-736
-672,32,-736
-672,48,-752
-672,64,-752
-672,64,-752
-672,64,-736
-672,64,-736
-688,32,-768
-688,0,-784
-688,0,-784
-720,-32,-768
-736,-48,-800
-736,-48,-800
-752,-80,-800
-752,-80,-800
-768,-80,-704
-752,-16,-560
-752,-16,-560
-752,0,-448
-768,-16,-480
-768,-16,-480
-768,-48,-544
-768,-48,-544
-752,-160,-576
-752,-160,-576
-736,-160,-688
-736,-160,-688
-624,-80,-336
-528,48,-64
-528,48,-64
-464,-32,64
-416,-128,32
-416,-128,32
-400,128,480
-400,128,480
-464,704,1072
-688,736,1392
-688,736,1392
-688,400,944
-688,400,944
-464,224,496
-336,224,336
-336,224,336
-224,240,400
-96,240,528
-96,240,528
96,208,336
96,208,336
336,112,0
336,112,0
672,-96,-448
1136,-160,-1200
1136,-160,-1200
1328,-320,-1968
1296,-640,-2048
1296,-640,-2048
1120,-784,-2048
1120,-784,-2048
832,-800,-2048
592,-528,-2048
592,-528,-2048
528,-384,-2048
528,-384,-2048
512,-448,-1760
528,-368,-1664
528,-368,-1664
560,-240,-1632
560,-240,-1632
608,-176,-1504
624,-64,-1248
624,-64,-1248
592,-64,-1024
592,-64,-1024
576,-32,-880
544,-32,-832
