x,y,z
-544,128,-816
-544,144,-816
-544,144,-816
-560,112,-816
-560,128,-800
-560,128,-800
-560,128,-784
-560,128,-784
-576,112,-784
-576,128,-768
-576,128,-768
-592,112,-736
-592,112,-736
-608,112,-688
-624,16,-560
-624,16,-560
-624,32,-608
-624,32,-608
-624,32,-672
-624,32,-672
-624,48,-672
-560,128,-608
-560,128,-608
-528,112,-560
-528,112,-560
-464,48,-304
-384,48,-176
-384,48,-176
-320,-32,-480
-320,-32,-480
-256,96,-432
-256,224,400
-256,224,400
-480,32,672
-480,32,672
-560,-64,64
-512,-48,-304
-464,-80,-384
-448,-128,-416
-448,-128,-416
-256,-48,-464
-256,-48,-464
0,80,-624
384,144,-912
384,144,-912
768,240,-1248
1072,304,-1552
1072,304,-1552
1168,448,-1888
1168,448,-1888
1120,640,-2048
960,688,-2048
960,688,-2048
848,480,-2048
848,480,-2048
800,272,-1872
752,224,-1344
752,224,-1344
688,288,-1072
688,288,-1072
640,320,-944
608,272,-928
608,272,-928
560,176,-944
544,112,-944
544,112,-944
528,64,-928
528,64,-928
512,48,-880
512,48,-880
512,48,-832
480,64,-816
480,64,-816
464,64,-784
464,64,-784
432,16,-768
432,16,-768
400,0,-784
400,0,-800
400,0,-800
400,16,-848
400,16,-848
400,32,-880
400,16,-912
400,16,-912
416,32,-960
416,32,-960
416,32,-976
432,64,-992
432,64,-992
432,16,-976
432,32,-992
432,32,-992
432,32,-960
432,32,-960
432,48,-960
416,48,-960
416,48,-960
416,48,-944
416,48,-944
416,48,-944
416,48,-944
416,48,-944
416,64,-944
416,64,-944
416,64,-944
416,64,-944
416,48,-944
416,48,-976
416,48,-976
416,48,-1008
416,48,-1008
416,32,-1024
448,64,-1088
448,64,-1088
464,96,-1152
496,160,-1248
496,176,-1312
512,192,-1328
512,192,-1328
528,256,-1360
528,256,-1360
544,304,-1472
560,144,-1424
