x,y,z
-128,48,-1008
-128,48,-992
-128,48,-992
-128,48,-1008
-112,64,-992
-112,64,-992
-112,48,-992
-112,48,-992
-112,48,-976
-112,64,-976
-112,64,-976
-112,80,-976
-112,80,-976
-112,96,-960
-96,112,-944
-96,112,-944
-64,160,-928
-64,160,-928
-80,160,-928
-64,192,-880
-64,192,-880
-16,176,-800
-16,176,-800
96,64,-880
176,-240,-1040
176,-240,-1040
240,-560,-1200
272,-848,-1296
272,-848,-1296
272,-1056,-1216
272,-1056,-1216
240,-1216,-1024
176,-1456,-1168
176,-1456,-1168
80,-1552,-1312
80,-1552,-1312
80,-1536,-1456
176,-1376,-1536
176,-1376,-1536
320,-1152,-1536
320,-1152,-1536
400,-1056,-1568
560,-944,-1440
560,-944,-1440
1216,-672,-1056
1216,-672,-1056
1584,-320,-848
1840,-80,-352
1840,-80,-352
1920,224,-240
1920,224,-240
1856,832,16
1488,1440,128
1488,1440,128
1120,1824,160
1120,1824,160
864,1632,304
864,1632,304
784,1472,-16
736,1392,-272
736,1392,-272
640,1216,-272
480,976,-384
480,976,-384
368,896,-384
368,896,-384
352,976,-416
320,1008,-480
320,1008,-480
304,1008,-528
272,896,-592
272,896,-592
288,832,-656
288,832,-656
320,928,-720
352,976,-752
352,976,-752
400,1024,-784
400,1024,-784
432,960,-704
384,800,-656
384,800,-656
304,656,-592
304,656,-592
224,640,-688
192,688,-720
192,688,-720
160,704,-736
160,704,-736
64,528,-672
-32,400,-752
-32,400,-752
-144,304,-816
-144,304,-816
-272,192,-928
-304,208,-944
-304,208,-944
-352,144,-896
-352,144,-896
-384,48,-928
-416,0,-944
-416,0,-944
-464,-80,-960
-464,-80,-960
-464,-32,-976
-432,64,-928
-432,64,-928
-384,128,-880
-352,160,-848
-352,160,-848
-352,112,-848
-352,112,-848
-336,112,-928
-352,64,-896
-352,64,-896
-336,64,-880
-336,64,-880
-320,64,-928
-368,-64,-896
-368,-64,-896
-384,-128,-960
-384,-128,-960
-400,-176,-992
-400,-176,-992
