x,y,z
-112,32,-992
-112,32,-992
-128,16,-976
-128,16,-976
-128,-16,-960
-128,-32,-976
-128,-32,-976
-112,-32,-992
-112,-32,-992
-96,0,-992
-96,-16,-1008
-96,-16,-1008
-128,-32,-1024
-112,-16,-1008
-112,-16,-1008
-96,48,-960
-96,48,-960
-96,16,-928
-96,16,-928
-32,-48,-880
32,-192,-912
32,-192,-912
112,-336,-928
160,-496,-992
160,-496,-992
160,-640,-1056
160,-640,-1056
32,-976,-1056
32,-976,-1056
32,-1040,-1024
64,-1024,-1136
64,-1024,-1136
80,-1008,-1184
80,-1008,-1184
128,-944,-1184
208,-848,-1152
208,-848,-1152
288,-736,-1088
336,-672,-1168
336,-672,-1168
416,-560,-1056
416,-560,-1056
512,-448,-1008
608,-352,-1024
608,-352,-1024
688,-160,-960
688,-160,-960
752,128,-704
752,128,-704
688,80,-720
720,128,-720
720,128,-720
768,352,-448
768,352,-448
784,672,-416
768,1184,-384
768,1184,-384
608,1504,-304
608,1504,-304
464,1472,-448
464,1472,-448
416,1152,-608
368,944,-784
368,944,-784
336,896,-816
304,944,-736
304,944,-736
224,944,-768
224,944,-768
176,912,-768
128,800,-832
128,800,-832
128,672,-896
128,672,-896
144,640,-1008
176,608,-1056
176,608,-1056
224,752,-1040
224,752,-1040
256,832,-1008
240,800,-928
240,800,-928
224,752,-912
192,608,-864
192,608,-864
112,336,-832
112,336,-832
48,160,-832
-16,224,-832
-16,224,-832
-16,464,-832
-16,464,-832
0,608,-864
0,608,-960
0,608,-960
-48,416,-928
-48,416,-928
-80,320,-1008
-112,448,-960
-112,448,-960
-96,576,-848
-112,688,-832
-128,640,-816
-128,640,-816
-160,528,-832
-192,480,-848
-192,480,-848
-192,496,-864
-192,512,-832
-192,512,-832
-192,464,-784
-192,464,-784
-240,320,-752
-272,272,-768
-272,272,-768
-272,288,-800
-272,288,-800
-288,224,-736
-288,224,-736
-304,176,-784
-304,192,-800
-304,192,-800
-304,176,-832
-336,112,-864
