x,y,z
-624,-16,-784
-640,-16,-752
-640,-32,-736
-640,-32,-736
-640,-32,-768
-640,-32,-768
-640,-16,-784
-656,-32,-768
-656,-32,-768
-656,-32,-752
-656,-32,-752
-656,-16,-752
-640,-16,-752
-640,-16,-752
-656,-16,-752
-656,-16,-752
-640,-16,-752
-656,0,-768
-656,0,-768
-640,0,-768
-640,0,-768
-656,0,-768
-656,0,-768
-656,0,-768
-656,0,-768
-656,0,-768
-656,-16,-752
-656,-16,-752
-656,-16,-752
-640,-32,-752
-656,-48,-752
-656,-48,-752
-656,-48,-752
-656,-48,-752
-656,-48,-752
-656,-48,-752
-656,-48,-752
-656,-64,-736
-656,-64,-736
-640,-64,-752
-640,-64,-752
-640,-48,-752
-640,-48,-752
-656,-48,-752
-656,-32,-752
-640,-32,-752
-640,-32,-752
-640,-32,-752
-656,-32,-768
-656,-32,-768
-656,-32,-768
-640,-32,-768
-640,-32,-768
-640,-32,-768
-640,-48,-768
-640,-48,-768
-640,-48,-752
-640,-48,-752
-640,-48,-752
-640,-64,-736
-640,-64,-736
-656,-64,-752
-656,-64,-752
-656,-48,-752
-656,-48,-768
-656,-48,-768
-656,-64,-768
-656,-64,-768
-640,-64,-736
-640,-64,-752
-640,-64,-752
-656,-64,-768
-656,-64,-768
-656,-80,-784
-656,-80,-784
-656,-80,-784
-640,-80,-752
-640,-80,-752
-656,-64,-736
-656,-48,-720
-656,-48,-720
-640,-48,-736
-656,-32,-768
-656,-32,-768
-656,-32,-784
-656,-32,-784
-656,-32,-768
-656,-32,-768
-640,-48,-752
-640,-48,-752
-640,-48,-752
-640,-48,-752
-640,-48,-752
-640,-48,-768
-656,-48,-768
-656,-48,-768
-656,-48,-736
-656,-48,-736
-656,-48,-736
-656,-48,-736
-640,-32,-720
-656,-32,-752
-656,-32,-752
-656,-16,-768
-656,-16,-768
-656,0,-768
-656,0,-768
-656,0,-768
-656,16,-752
-656,16,-768
-656,16,-768
-656,16,-752
-656,16,-752
-640,32,-752
-640,32,-752
-640,16,-752
-640,0,-752
-640,0,-752
-624,0,-752
-624,-16,-768
-640,-32,-768
-640,-32,-752
-640,-32,-752
-640,-32,-752
