x,y,z
-16,-416,-1008
80,-528,-992
144,-672,-976
144,-672,-976
224,-752,-944
192,-880,-1136
192,-880,-1136
128,-1184,-1056
128,-1184,-1056
32,-1376,-976
32,-1376,-976
-128,-1360,-1088
16,-1184,-1152
16,-1184,-1152
144,-896,-1072
144,-896,-1072
112,-960,-1136
-48,-1504,-1312
-48,-1504,-1312
96,-2032,-1216
96,-2032,-1216
1136,-1712,-1120
2048,-1568,-544
2048,-1568,-544
2048,-688,-480
2048,-688,-480
2048,368,-384
2048,1328,-640
2048,1328,-640
1968,2048,-992
1968,2048,-992
1520,2048,-912
1200,2048,-800
832,1456,-800
528,1072,-848
528,1072,-848
192,752,-720
-96,512,-640
-96,512,-640
-272,432,-576
-272,432,-576
-384,304,-624
-416,176,-800
-416,176,-800
-368,224,-928
-368,224,-928
-224,480,-976
-128,608,-1024
-128,608,-1024
-80,640,-960
-48,608,-864
-48,608,-864
-80,544,-864
-80,544,-864
-96,560,-832
-112,608,-800
-112,608,-800
-128,608,-784
-128,608,-784
-144,576,-816
-160,512,-848
-160,512,-848
-176,464,-832
-176,464,-832
-192,416,-880
-176,496,-864
-176,496,-864
-160,576,-880
-160,576,-880
-144,592,-864
-144,576,-848
-144,576,-848
-128,544,-832
-128,544,-832
-128,576,-864
-112,608,-864
-112,608,-864
-96,640,-880
-96,640,-880
-96,656,-880
-128,544,-816
-128,544,-816
-160,496,-864
-160,528,-880
-160,528,-880
-176,544,-848
-176,544,-848
-208,528,-848
-224,528,-848
-224,528,-848
-256,496,-800
-256,496,-800
-304,432,-816
-352,448,-848
-352,448,-848
-400,480,-880
-400,480,-880
-432,464,-832
-464,416,-800
-464,416,-800
-464,432,-736
-464,432,-736
-480,400,-768
-464,400,-752
-464,400,-752
-416,496,-752
-416,496,-752
-384,528,-800
-400,480,-832
-400,480,-832
-416,400,-816
-416,400,-816
-416,384,-784
-384,416,-720
-384,416,-720
-368,416,-752
-368,416,-752
-368,368,-704
-464,384,-752
-464,384,-752
-608,304,-864
-608,304,-864
-704,112,-832
