x,y,z
-112,80,-1008
-112,80,-1008
-112,80,-1008
-128,96,-1008
-128,96,-1008
-112,96,-1008
-128,80,-992
-128,80,-992
-128,96,-1008
-128,96,-1008
-128,112,-992
-128,112,-1008
-128,112,-1008
-128,112,-992
-128,112,-992
-112,128,-1024
-112,128,-1024
-112,128,-1024
-128,96,-1104
-112,48,-1216
-112,48,-1216
-96,-48,-1136
-96,-48,-1136
-64,-272,-1008
-64,-272,-1008
-16,-432,-1040
96,-480,-1056
96,-480,-1056
352,-496,-976
544,-784,-1072
544,-784,-1072
480,-1232,-1184
480,-1232,-1184
400,-1600,-1088
320,-2032,-1152
320,-2032,-1152
272,-2032,-1296
272,-2032,-1296
384,-2032,-1520
912,-2032,-1488
912,-2032,-1488
1792,-1952,-784
1792,-1952,-784
2048,-1504,-160
2048,-352,-320
2048,-352,-320
2048,912,-592
2048,912,-592
2048,1712,-720
2048,1712,-720
2048,2048,-304
1744,2048,-656
1744,2048,-656
1328,2048,-480
1328,2048,-480
1088,1840,-304
640,1152,-576
640,1152,-576
368,880,-720
128,688,-672
-16,496,-624
-16,496,-624
-80,384,-736
-80,400,-928
-80,400,-928
-80,384,-1040
-80,352,-1200
-80,352,-1200
-32,464,-1152
-32,464,-1152
-16,512,-992
0,576,-928
0,576,-928
16,560,-848
16,560,-848
16,544,-832
32,544,-880
32,544,-880
80,640,-880
80,640,-880
176,800,-912
288,864,-848
288,864,-848
352,752,-736
352,752,-736
336,752,-736
336,848,-768
336,848,-768
320,832,-784
320,832,-784
336,672,-800
336,672,-800
272,496,-752
160,416,-720
160,416,-720
64,368,-720
64,368,-720
0,336,-768
-32,240,-816
-32,240,-816
-96,192,-848
-96,192,-848
-112,192,-928
-160,112,-1008
-160,112,-1008
-240,-64,-1008
-240,-64,-1008
-272,-32,-1024
-288,32,-992
-288,32,-992
-304,80,-1024
-352,-32,-1088
-352,-32,-1088
-384,-112,-1088
-384,-112,-1088
-384,-128,-1040
-368,-96,-1024
-368,-96,-1024
-288,16,-1024
-288,16,-1024
-224,48,-1040
-192,-144,-976
-192,-144,-976
-208,-160,-1072
-208,-160,-1072
