x,y,z
-256,-96,-960
-256,-96,-976
-256,-96,-976
-256,-80,-992
-256,-80,-992
-256,-64,-976
-256,-64,-976
-256,-64,-976
-256,-32,-976
-256,-32,-976
-272,-48,-976
-272,-48,-976
-256,-48,-960
-224,-16,-960
-224,-16,-960
-192,-16,-992
-192,-16,-992
-96,-32,-1024
0,-176,-1024
0,-176,-1024
192,-368,-1088
368,-624,-1120
368,-624,-1120
480,-912,-1040
480,-912,-1040
464,-1296,-848
464,-1296,-848
320,-1728,-976
240,-2032,-1216
240,-2032,-1216
96,-2032,-1440
368,-2032,-1648
368,-2032,-1648
608,-1600,-1696
608,-1600,-1696
848,-1184,-1584
848,-1184,-1584
976,-944,-1488
1232,-944,-1296
1232,-944,-1296
1808,-896,-752
1808,-896,-752
2048,-304,-496
2048,-304,-496
2048,144,-496
2048,608,-544
2048,608,-544
2048,1232,-400
1840,1616,-464
1840,1616,-464
1568,2048,-416
1296,2048,-320
1072,1792,-336
928,1360,-336
928,1360,-336
800,1200,-320
800,1200,-320
640,1184,-352
480,1120,-336
480,1120,-336
400,1040,-256
400,1040,-256
288,864,-224
288,864,-224
208,800,-384
160,752,-432
160,752,-432
160,848,-496
144,880,-560
144,880,-560
160,912,-608
160,912,-608
176,896,-624
224,896,-576
224,896,-576
240,912,-576
240,912,-576
240,896,-560
272,944,-560
272,944,-560
304,1040,-576
304,1040,-576
352,1024,-592
352,912,-576
352,912,-576
320,912,-576
320,912,-576
176,992,-528
176,992,-528
368,944,-608
384,944,-640
384,944,-640
304,592,-608
304,592,-608
64,480,-688
64,480,-688
80,336,-624
96,592,-720
96,592,-720
80,624,-640
80,624,-640
-32,448,-672
-128,304,-720
-128,304,-720
-160,288,-768
-160,288,-768
-128,368,-848
-128,368,-848
-128,368,-960
-256,192,-896
-256,192,-896
-416,-80,-1008
-400,16,-1008
-400,16,-1008
-400,96,-944
-400,96,-944
-352,160,-1008
-352,80,-1072
-352,80,-1072
-368,-64,-1056
-368,-64,-1088
-368,-64,-1088
-320,-16,-1120
-320,-16,-1120
-240,128,-1088
