x,y,z
-176,0,-992
-176,0,-992
-176,0,-992
-176,0,-992
-160,16,-960
-160,48,-960
-160,48,-960
-144,16,-928
-144,16,-928
-160,-64,-928
-144,-112,-896
-144,-112,-896
-128,-96,-960
-128,-96,-960
-96,-48,-1040
-32,-32,-1056
-32,-32,-1056
48,-32,-1056
48,-32,-1056
208,-112,-1056
384,-272,-1152
384,-272,-1152
608,-528,-1168
752,-800,-1088
752,-800,-1088
656,-1376,-1072
656,-1376,-1072
432,-1824,-1104
256,-2032,-1296
256,-2032,-1296
256,-2032,-1552
256,-2032,-1552
528,-1648,-1504
800,-1104,-1424
800,-1104,-1424
912,-768,-1408
912,-768,-1408
912,-528,-1392
912,-528,-1392
864,-480,-1360
800,-672,-1296
800,-672,-1296
976,-1024,-1088
1552,-1088,-848
1552,-1088,-848
2048,-832,-544
2048,-832,-544
2048,-608,-720
2048,272,-880
2048,272,-880
2048,1328,-576
2048,1328,-576
2048,1904,-224
1872,2048,48
1872,2048,48
1632,2048,16
1632,2048,16
1424,1920,-16
1184,1552,-128
1184,1552,-128
672,1008,-400
496,800,-480
496,800,-480
448,768,-576
432,816,-640
432,816,-640
400,800,-656
400,800,-656
352,800,-736
304,800,-768
304,800,-768
272,768,-800
272,768,-800
256,752,-816
240,720,-800
240,720,-800
224,688,-816
224,688,-816
240,704,-848
272,768,-768
272,768,-768
304,832,-688
304,832,-688
336,896,-672
336,896,-672
336,848,-688
336,800,-752
336,800,-752
400,880,-672
400,880,-672
384,912,-688
384,912,-688
416,928,-624
400,944,-640
400,944,-640
320,624,-320
320,624,-320
304,576,-656
320,608,-592
320,608,-592
256,608,-624
256,608,-624
144,496,-688
144,496,-688
32,368,-736
16,400,-736
16,400,-736
64,560,-704
64,560,-704
80,592,-640
32,496,-656
32,496,-656
0,496,-592
-80,480,-832
-80,480,-832
-192,272,-640
-192,272,-640
-320,224,-592
-320,128,-896
-320,128,-896
-304,224,-1120
-304,224,-1120
-240,272,-1152
-160,352,-944
-160,352,-944
