x,y,z
96,48,-1024
96,48,-1024
96,48,-1024
96,32,-1024
96,48,-1008
96,48,-1008
112,48,-992
112,48,-992
112,48,-1008
144,32,-1056
160,16,-1104
160,16,-1104
192,64,-1072
160,48,-1040
160,48,-1040
128,16,-1008
128,16,-1008
144,48,-1008
240,112,-1248
240,112,-1248
320,224,-1600
384,272,-1904
384,272,-1904
496,320,-2048
496,320,-2048
704,432,-2048
704,432,-2048
848,512,-2048
896,384,-2048
896,384,-2048
960,160,-2048
1056,128,-2016
1056,128,-2016
1152,112,-1920
1152,112,-1920
1264,-48,-1984
1440,-80,-2048
1440,-80,-2048
1648,-224,-2048
1648,-224,-2048
1888,-304,-1568
1888,-192,-928
1888,-192,-928
1680,-80,-560
1680,-80,-560
1504,-80,0
1200,-160,592
1200,-160,592
928,-32,720
736,160,1040
736,160,1040
512,240,1328
512,240,1328
256,208,1488
32,128,1360
32,128,1360
-112,80,1184
-112,80,1184
-224,96,992
-320,112,912
-320,112,912
-400,64,880
-400,64,880
-464,96,784
-544,48,752
-544,48,752
-624,-48,816
-624,-48,816
-672,-112,896
-720,-96,912
-720,-96,912
-752,-64,816
-752,-64,816
-800,-48,704
-832,-16,608
-832,-16,608
-864,32,560
-864,32,560
-864,48,480
-880,48,416
-880,48,416
-896,64,432
-896,64,432
-896,48,464
-896,64,448
-896,48,448
-880,32,464
-880,32,464
-896,0,480
-896,0,480
-896,0,480
-896,0,448
-896,0,448
-896,-16,448
-896,-16,464
-896,-16,464
-896,-16,464
-896,-16,464
-896,-16,464
-896,-16,464
-896,-16,464
-880,0,480
-880,16,464
-880,16,464
-864,16,480
-864,16,480
-864,0,448
-864,0,448
-864,0,464
-864,0,448
-864,0,448
-864,-16,464
-864,-48,480
-864,-48,480
-864,-48,512
-864,-48,512
-864,-32,528
-864,-32,528
-848,0,496
-848,0,496
-848,0,496
-864,-16,496
-864,-16,496
-848,0,496
