x,y,z
64,96,-1008
48,96,-1008
48,80,-1008
48,80,-1008
32,80,-1008
48,80,-1008
48,80,-1008
48,96,-1024
48,96,-1024
64,96,-1008
48,96,-1008
48,96,-1008
48,96,-1008
48,96,-1008
48,112,-1008
48,112,-1008
48,96,-1008
48,96,-1008
48,96,-1008
48,96,-992
32,80,-992
32,80,-992
16,48,-960
16,48,-960
-32,-16,-912
-80,-128,-720
-80,-128,-720
-16,-16,-704
-16,-16,-704
176,112,-880
384,368,-1152
384,368,-1152
400,544,-1808
992,336,-2048
992,336,-2048
880,432,-2048
880,432,-2048
1040,272,-2048
1040,272,-2048
1248,224,-2048
1520,208,-2048
1520,208,-2048
1904,336,-2048
2048,592,-2048
2048,592,-2048
2048,448,-2048
2048,448,-2048
2048,176,-2048
2048,-400,-1856
2048,-400,-1856
2048,-592,-1632
2048,-592,-1632
2048,-816,-1696
2048,-592,-1056
2048,-592,-1056
2048,-368,608
2048,-368,608
2048,-80,2032
2048,-80,2032
1888,80,2032
1264,128,2032
1264,128,2032
880,-240,1696
880,-240,1696
672,-192,1456
480,80,1088
480,80,1088
304,192,944
304,192,944
112,256,896
-32,224,896
-32,224,896
-128,144,928
-128,144,928
-224,128,880
-400,0,944
-400,0,944
-464,-16,992
-464,-16,992
-512,-32,1072
-544,-64,1056
-544,-64,1056
-592,-144,960
-592,-144,960
-624,-144,944
-624,-144,944
-656,-80,944
-656,-48,944
-656,-48,944
-656,0,864
-656,0,864
-640,32,848
-624,64,832
-624,64,832
-608,112,816
-608,112,816
-592,112,816
-576,112,784
-576,112,784
-560,112,800
-560,112,800
-560,80,816
-544,64,832
-544,64,832
-528,16,880
-528,16,880
-512,-32,864
-496,-32,864
-496,-32,864
-480,16,880
-400,112,896
-400,112,896
-448,-48,832
-448,-48,832
-400,16,832
-400,16,832
-352,16,832
-320,32,800
-320,32,800
-304,48,784
-288,48,800
-288,48,800
-272,48,800
-272,48,800
-272,32,768
