x,y,z
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-928
432,64,-912
432,64,-928
432,64,-928
432,64,-928
432,48,-928
432,48,-928
432,64,-928
432,64,-928
432,80,-944
416,48,-928
416,48,-928
384,-16,-928
384,-16,-928
416,-16,-928
432,-32,-880
432,-32,-880
432,32,-960
432,32,-960
432,80,-960
448,112,-1008
448,112,-1008
496,48,-1248
496,48,-1248
624,16,-1616
864,64,-1920
864,64,-1920
1104,64,-2048
1104,64,-2048
1264,160,-2048
1312,160,-1808
1312,160,-1808
1328,112,-1744
1328,112,-1744
1296,0,-1808
1312,-128,-1856
1312,-128,-1856
1424,-160,-1888
1504,-272,-2048
1504,-272,-2048
1584,-544,-2048
1584,-544,-2048
1808,-720,-2048
2048,-640,-2048
2048,-640,-2048
2048,-560,-1296
2048,-560,-1296
1904,-512,-704
1904,-512,-704
1536,-672,-480
1328,-672,-112
1328,-672,-112
1136,-560,384
944,-400,1072
944,-400,1072
720,-176,1552
720,-176,1552
512,64,1744
432,320,1696
432,320,1696
384,512,1344
224,496,976
224,496,976
48,448,752
48,448,752
-112,400,704
-288,336,608
-288,336,608
-384,352,656
-384,352,656
-464,368,688
-560,384,624
-640,352,624
-688,352,592
-688,352,592
-704,368,624
-720,384,672
-720,384,672
-752,400,656
-752,400,656
-784,400,672
-784,384,688
-784,384,688
-784,368,656
-784,368,656
-768,352,656
-768,336,624
-768,336,624
-752,336,544
-752,336,544
-720,336,528
-688,352,528
-688,352,528
-656,336,528
-656,336,528
-640,320,496
-640,336,496
-640,336,496
-640,336,496
-640,336,496
