x,y,z
480,144,-896
480,144,-896
480,144,-880
480,128,-896
480,128,-896
480,128,-880
480,128,-880
480,128,-864
480,144,-896
480,144,-896
496,144,-912
496,144,-896
496,144,-896
480,144,-880
480,144,-880
480,128,-880
480,128,-880
480,128,-880
480,128,-880
480,128,-880
496,128,-896
480,128,-880
480,128,-880
464,144,-896
464,144,-896
416,96,-896
368,112,-832
368,112,-832
336,176,-800
336,176,-800
384,224,-848
432,160,-1072
432,160,-1072
496,-96,-1408
496,-96,-1408
656,-112,-1776
816,96,-2048
816,96,-2048
960,96,-2048
1088,32,-2048
1088,32,-2048
1296,80,-2048
1296,80,-2048
1440,64,-2048
1440,64,-2048
1456,-112,-2048
1520,-320,-1760
1520,-320,-1760
1584,-384,-1584
1584,-384,-1584
1616,-448,-1600
1680,-560,-1568
1680,-560,-1568
1680,-544,-1296
1680,-544,-1296
1680,-480,-912
1552,-368,-464
1552,-368,-464
1328,-416,-288
1328,-416,-288
1056,-560,48
816,-288,624
816,-288,624
576,-64,736
400,96,880
400,96,880
224,240,832
224,240,832
64,272,864
-16,336,864
-16,336,864
-128,352,896
-128,352,896
-224,320,944
-320,368,992
-320,368,992
-400,384,912
-400,384,912
-480,352,944
-576,272,1008
-576,272,1008
-688,224,992
-688,224,992
-768,192,960
-800,160,976
-800,160,976
-800,208,912
-800,208,912
-784,256,816
-784,288,752
-784,288,752
-784,304,736
-752,304,656
-752,304,656
-736,320,624
-736,320,624
-720,320,608
-720,320,608
-704,304,608
-672,304,592
-672,304,592
-656,288,608
-640,240,608
-640,240,608
-624,240,592
-624,240,592
-608,208,576
-592,176,560
-592,176,560
-544,160,480
-544,160,480
-432,144,448
-336,160,384
-336,160,384
-224,80,336
-224,80,336
-192,32,304
-176,0,144
-176,0,144
-144,-32,-16
-16,0,-96
-16,0,-96
192,48,-240
