x,y,z
-224,48,-992
-224,48,-992
-240,48,-976
-240,64,-976
-240,64,-976
-256,64,-960
-256,64,-960
-256,64,-960
-256,64,-944
-256,64,-944
-256,64,-944
-256,64,-944
-256,64,-928
-272,64,-912
-272,64,-912
-288,80,-880
-288,80,-880
-320,96,-848
-320,96,-848
-352,64,-768
-352,64,-768
-400,64,-672
-416,32,-592
-416,32,-592
-384,0,-560
-384,0,-560
-352,-16,-560
-352,-16,-560
-320,-16,-592
-288,0,-592
-288,0,-592
-256,0,-544
-256,0,-544
-208,-32,-464
-96,-16,-432
-96,-16,-432
0,0,-480
0,0,-480
80,-16,-560
160,-64,-480
160,-64,-480
320,-64,-416
320,-64,-416
464,-48,-480
576,-144,-496
576,-144,-496
768,-160,-528
928,-96,-624
928,-96,-624
1072,-144,-496
1072,-144,-496
1232,-16,-672
1328,16,-624
1328,16,-624
1376,-96,-480
1376,-96,-480
1504,-48,-1088
2048,-272,-1920
2048,-272,-1920
2048,400,-2048
2048,400,-2048
2032,176,-992
1088,160,-880
1088,160,-880
464,-416,-128
464,-416,-128
544,-48,80
656,192,128
656,192,128
624,48,32
624,48,32
608,-112,-32
656,-256,-256
656,-256,-256
1008,-224,-800
1008,-224,-800
1312,-160,-1344
1152,-144,-944
1152,-144,-944
976,-16,-736
976,-16,-736
784,-96,-464
752,-144,-368
752,-144,-368
768,-160,-336
784,-208,-336
832,-160,-480
848,-160,-544
848,-160,-544
848,-192,-592
848,-192,-592
832,-192,-624
816,-160,-640
816,-160,-640
816,-144,-576
816,-144,-576
816,-144,-576
832,-112,-592
832,-112,-592
848,-96,-576
864,-80,-592
864,-80,-592
864,-80,-640
864,-80,-640
896,-48,-688
896,-48,-688
976,-32,-752
1056,-32,-880
1056,-32,-880
1136,-64,-1152
1184,-64,-1392
1184,-64,-1392
1200,-32,-1408
1200,-32,-1408
1184,0,-1312
1152,48,-1264
1152,48,-1264
1168,80,-1248
1168,80,-1248
1168,112,-1280
1136,112,-1168
1136,112,-1168
1024,80,-1008
1024,80,-1008
