x,y,z
-96,-32,-992
-96,-32,-992
-96,-32,-976
-96,-32,-976
-112,-32,-992
-96,-32,-1008
-96,-32,-1008
-112,-32,-992
-112,-48,-992
-112,-48,-992
-112,-48,-992
-112,-48,-992
-96,-16,-992
-112,-16,-992
-112,-16,-992
-96,-32,-992
-96,-32,-992
-96,-32,-1008
-112,-32,-1008
-112,-48,-1008
-112,-80,-1024
-112,-80,-1024
-64,-112,-1056
-64,-112,-1056
-48,-96,-1056
-48,-32,-992
-48,-32,-992
16,0,-912
16,0,-912
240,96,-976
480,0,-960
480,0,-960
688,-320,-992
816,-512,-1136
816,-512,-1136
736,-704,-1008
736,-704,-1008
528,-1024,-656
320,-1440,-576
320,-1440,-576
256,-1712,-960
256,-1712,-960
240,-2032,-1328
240,-2032,-1328
416,-2032,-912
896,-1504,-592
896,-1504,-592
1232,-1184,-528
1648,-1088,-400
1648,-1088,-400
2048,-384,-272
2048,-384,-272
2048,400,-416
1872,1168,-784
1872,1168,-784
1376,1712,-1296
1376,1712,-1296
976,2000,-1440
688,1728,-1312
688,1728,-1312
512,1296,-1120
512,1296,-1120
336,960,-960
192,640,-896
192,640,-896
112,400,-976
112,400,-976
16,272,-1040
-48,208,-1040
-48,208,-1040
-96,160,-992
-96,160,-992
-128,128,-960
-160,112,-960
-160,112,-960
-160,80,-976
-144,80,-1008
-144,80,-1008
-144,96,-1008
-144,96,-1008
-144,128,-1024
-144,128,-1024
-144,112,-1008
-144,112,-1008
-144,96,-976
-160,112,-976
-160,112,-976
-160,80,-992
-160,80,-992
-144,32,-992
-144,48,-960
-144,48,-960
-144,64,-944
-144,64,-944
-160,64,-928
-160,48,-944
-160,48,-944
-160,16,-960
-160,16,-960
-176,0,-960
-192,0,-960
-192,0,-960
-192,16,-944
-192,16,-944
-192,16,-960
-192,16,-976
-192,16,-976
-192,32,-1008
-192,32,-1008
-176,64,-1008
-176,64,-1008
-176,64,-1024
-176,64,-1008
-176,64,-1008
-176,64,-1008
-176,64,-1008
-160,64,-1008
-160,64,-1008
-160,64,-992
-176,80,-976
-176,80,-976
-176,64,-960
-176,64,-960
-160,64,-976
