x,y,z
-112,-64,-992
-112,-64,-1008
-112,-64,-1008
-112,-64,-1008
-112,-64,-1008
-112,-64,-1008
-112,-64,-1008
-112,-64,-1008
-112,-80,-1008
-128,-80,-992
-128,-80,-992
-128,-80,-992
-128,-80,-992
-112,-64,-976
-112,-64,-992
-112,-64,-992
-112,-80,-992
-112,-80,-992
-128,-80,-1008
-128,-64,-1008
-128,-64,-1008
-128,-96,-1008
-128,-96,-1008
-128,-128,-1024
-112,-128,-992
-112,-128,-992
-112,-96,-976
-80,-32,-944
-80,-32,-944
32,64,-960
32,64,-960
224,128,-992
224,128,-992
480,80,-976
672,-272,-960
800,-624,-992
896,-832,-1024
896,-832,-1024
800,-1120,-960
544,-1792,-976
544,-1792,-976
208,-2032,-720
208,-2032,-720
320,-2032,-800
784,-2032,-720
784,-2032,-720
1184,-1664,-672
1184,-1664,-672
1680,-1296,-576
2048,-544,-416
2048,-544,-416
2048,-48,-480
2048,400,-576
2048,400,-576
1856,992,-848
1856,992,-848
1536,1408,-1296
1168,1600,-1376
1168,1600,-1376
880,1568,-1280
880,1568,-1280
640,1392,-1088
432,1088,-944
432,1088,-944
288,736,-928
288,736,-928
144,496,-1008
32,400,-1024
32,400,-1024
-80,304,-1008
-80,304,-1008
-144,208,-992
-192,80,-1024
-192,80,-1024
-208,-16,-1040
-208,-16,-1040
-224,-16,-1024
-240,48,-976
-240,48,-976
-256,48,-976
-256,48,-976
-240,32,-992
-240,0,-976
-240,0,-976
-240,16,-960
-240,16,-960
-224,0,-976
-208,0,-944
-208,0,-944
-208,16,-928
-208,16,-928
-208,16,-944
-208,-16,-944
-208,-16,-944
-208,-32,-928
-208,-32,-928
-224,0,-896
-240,64,-896
-240,64,-896
-240,0,-928
-240,0,-928
-240,-64,-976
-240,-64,-976
-240,-80,-976
-240,-64,-992
-240,-64,-992
-256,-48,-976
-256,-16,-976
-240,-16,-992
-224,-16,-992
-224,-16,-992
-224,0,-976
-224,0,-976
-224,32,-992
-224,32,-992
-224,32,-992
-224,16,-976
-224,16,-976
-224,16,-976
-224,32,-976
-224,32,-976
-224,16,-960
-224,16,-960
-224,16,-960
