x,y,z
-208,32,-976
-208,32,-976
-208,32,-976
-208,16,-960
-208,16,-960
-224,0,-976
-224,0,-976
-224,16,-976
-224,32,-992
-224,32,-992
-224,16,-1008
-224,16,-1008
-224,32,-992
-208,48,-992
-208,48,-992
-224,48,-992
-240,32,-1008
-240,32,-1008
-224,32,-960
-224,32,-960
-176,48,-944
-96,-16,-1008
-96,-16,-1008
48,-224,-1104
48,-224,-1104
80,-656,-1264
176,-1184,-1168
176,-1184,-1168
112,-1808,-944
112,-1808,-944
80,-2032,-976
112,-2032,-1760
112,-2032,-1760
384,-2032,-1856
1072,-2032,-1616
1072,-2032,-1616
2048,-2032,-1120
2048,-2032,-1120
2048,-2032,-416
2048,-976,-736
2048,-976,-736
2048,560,-1040
2048,560,-1040
2048,1472,-1024
2048,2048,-720
2048,2048,-720
2048,2048,-304
2048,2048,-304
1616,1248,-16
1616,1248,-16
1280,880,-240
976,864,-496
976,864,-496
784,912,-672
592,800,-752
592,800,-752
416,624,-928
416,624,-928
320,480,-960
272,432,-960
272,432,-960
256,480,-928
224,448,-896
208,416,-944
240,496,-1056
240,496,-1056
288,576,-928
288,576,-928
368,704,-864
448,800,-816
448,800,-816
416,704,-832
416,704,-832
368,624,-896
384,560,-1040
384,560,-1040
352,528,-1152
352,528,-1152
320,432,-1104
224,368,-1056
224,368,-1056
144,368,-1056
144,368,-1056
96,320,-1072
16,224,-1104
16,224,-1104
-64,192,-1040
-112,80,-1056
-112,80,-1056
-240,-160,-960
-240,-160,-960
-400,-352,-880
-400,-352,-880
-448,-272,-896
-464,-208,-768
-464,-208,-768
-480,-64,-864
-480,-64,-800
-480,-64,-800
-480,-96,-848
-480,-96,-848
-448,-96,-832
-448,-96,-832
-464,-112,-800
-448,192,-1056
-448,192,-1056
-320,80,-1008
-320,80,-1008
-400,64,-688
-384,144,-960
-384,144,-960
-352,160,-864
-352,160,-864
-384,176,-768
-384,96,-720
-384,96,-720
-416,240,-704
-416,240,-704
-368,192,-832
-368,192,-880
-368,192,-880
-352,224,-960
-352,224,-960
-352,272,-976
-320,320,-912
