x,y,z
-112,240,-976
-112,224,-976
-112,224,-976
-112,240,-960
-112,240,-960
-112,240,-960
-112,240,-960
-112,240,-960
-128,240,-976
-128,240,-976
-112,224,-976
-144,208,-992
-144,208,-992
-128,224,-976
-128,224,-976
-112,256,-1008
-112,288,-992
-112,288,-992
-112,288,-1008
-112,288,-1008
-80,320,-976
-64,256,-896
-64,256,-896
96,144,-880
96,144,-880
288,-64,-976
496,-480,-1136
496,-480,-1136
704,-784,-1184
720,-1312,-1056
720,-1312,-1056
624,-1808,-1040
624,-1808,-1040
560,-2032,-1424
560,-2032,-1424
528,-2032,-1936
688,-1952,-2048
688,-1952,-2048
1152,-1520,-2032
1808,-1168,-1504
1808,-1168,-1504
2048,-1104,-752
2048,-784,-400
2048,560,-704
2048,1984,-944
2048,1984,-944
2048,2048,-448
2048,2048,-448
1552,2048,-240
1088,2048,0
1088,2048,0
816,1472,-16
816,1472,-16
656,1024,-240
528,928,-480
528,928,-480
336,704,-512
336,704,-512
336,736,-624
288,624,-784
288,624,-784
224,512,-912
224,512,-912
208,368,-1008
256,400,-1104
256,400,-1104
272,432,-1152
272,432,-1152
256,464,-1104
240,480,-992
240,480,-992
224,432,-944
224,432,-944
160,320,-928
192,336,-1024
192,336,-1024
224,384,-1088
224,384,-1088
224,416,-1088
256,448,-1040
256,448,-1040
272,464,-1008
272,480,-992
272,480,-992
272,416,-928
272,416,-928
288,432,-1024
320,512,-1024
320,512,-1024
304,512,-992
304,512,-992
272,448,-992
272,464,-976
272,464,-976
256,432,-912
256,432,-912
240,352,-864
208,304,-880
208,304,-880
224,352,-976
224,352,-976
240,432,-1040
224,496,-1040
224,496,-1040
192,512,-1024
192,512,-1024
128,400,-960
48,224,-880
48,224,-880
-48,208,-960
-48,208,-960
-64,304,-960
-64,304,-960
-64,352,-944
-80,352,-992
-80,352,-992
-96,320,-1008
-128,256,-1008
-160,240,-992
-176,256,-992
-176,256,-992
-192,256,-928
-192,256,-928
-176,256,-912
