x,y,z
-96,0,-944
-96,0,-944
-96,0,-944
-96,0,-960
-96,0,-960
-96,-16,-992
-96,-16,-992
-96,-32,-992
-96,-48,-1008
-96,-48,-1008
-96,-64,-1024
-96,-64,-1024
-96,-64,-1008
-96,-48,-1008
-96,-48,-1008
-112,-48,-992
-112,-48,-992
-112,-32,-992
-112,-16,-992
-112,-16,-992
-112,-16,-992
-112,-16,-992
-96,-16,-992
-96,16,-992
-96,16,-992
-96,32,-992
-80,16,-1008
-80,16,-1008
-80,48,-1024
-80,48,-1024
-80,48,-1024
-64,48,-1024
-64,48,-1024
-64,48,-1040
-64,48,-1040
-16,112,-1072
-16,112,-1072
16,160,-1152
112,80,-1248
112,80,-1248
352,-32,-1376
352,-32,-1376
768,-416,-1616
1024,-544,-1552
1024,-544,-1552
1136,-1088,-912
976,-1968,-320
976,-1968,-320
1008,-1760,-512
1008,-1760,-512
1088,-1248,-704
1168,-1088,-880
1168,-1088,-880
1168,-1008,-1104
1168,-1008,-1104
1200,-720,-1248
1264,-448,-1472
1264,-448,-1472
1296,-544,-1440
1296,-544,-1440
1360,-720,-1440
1536,-1008,-1648
1536,-1008,-1648
1984,-1456,-1584
1984,-1456,-1584
2048,-1552,-1360
2048,-1024,-416
2048,-1024,-416
2048,-240,416
2048,-240,416
2048,2048,-1200
2048,2048,-1200
1968,2048,-1760
1968,2048,-1760
1216,2048,-1392
1072,1264,-816
1072,1264,-816
608,496,-272
48,432,-144
48,432,-144
-224,496,-384
-336,448,-576
-336,448,-576
-336,448,-576
-320,144,-864
-368,-48,-912
-368,-48,-912
-448,-80,-768
-464,-112,-768
-464,-112,-768
-464,-160,-848
-464,-160,-848
-480,-176,-896
-480,-176,-896
-448,-176,-944
-448,-176,-944
-400,-96,-960
-368,0,-912
-368,0,-912
-352,64,-896
-352,64,-896
-352,96,-848
-336,32,-832
-336,32,-832
-336,-32,-816
-352,-112,-896
-352,-112,-896
-416,-80,-944
-416,-80,-944
-432,16,-976
-400,16,-944
-400,16,-944
-368,0,-928
-368,0,-928
-400,-32,-864
-400,-96,-880
-400,-96,-880
-400,-128,-976
-400,-128,-976
-416,-96,-1024
-432,-80,-976
-432,-80,-976
-448,-128,-912
-448,-128,-912
-464,-112,-896
-448,-32,-896
