x,y,z
-208,-16,-976
-208,-16,-976
-224,-48,-976
-224,-48,-976
-208,-96,-976
-208,-96,-960
-208,-96,-960
-208,-32,-960
-208,-32,-960
-208,0,-960
-192,-32,-976
-192,-32,-976
-176,-112,-976
-176,-112,-976
-144,-224,-960
-144,-224,-960
-128,-208,-928
-96,-176,-864
-96,-176,-864
-48,48,-752
-48,48,-752
176,304,-656
496,1040,-688
496,1040,-688
592,1952,-1040
592,1952,-1040
656,2048,-1136
656,2048,-1136
1040,1760,-896
1232,1552,-816
1232,1552,-816
1520,1552,-1136
1840,1568,-1120
1840,1568,-1120
2048,1488,-1168
2048,1488,-1168
2048,1040,-864
2048,176,-224
2048,176,-224
2048,-720,160
2048,-1360,272
2048,-1360,272
2048,-1760,-208
2048,-1760,-208
2048,-2032,-800
2048,-2032,-800
1328,-2032,-976
912,-1888,-544
912,-1888,-544
736,-1392,-720
736,-1392,-720
672,-1072,-832
592,-848,-752
592,-848,-752
496,-688,-720
496,-688,-720
480,-624,-736
432,-560,-752
432,-560,-752
384,-528,-800
336,-464,-784
336,-464,-784
288,-384,-784
288,-384,-784
256,-368,-832
224,-384,-912
224,-384,-912
224,-368,-976
224,-368,-976
192,-352,-1024
176,-304,-1040
176,-304,-1040
192,-224,-1056
192,-224,-1056
208,-112,-1088
208,-16,-1088
208,-16,-1088
208,48,-1104
208,48,-1104
208,80,-1072
192,80,-1040
192,80,-1040
176,32,-1040
176,32,-1040
144,0,-1008
144,0,-1008
128,0,-944
128,0,-944
128,-32,-912
144,-80,-944
144,-80,-944
160,-112,-960
144,-128,-944
144,-128,-944
144,-144,-928
144,-144,-928
144,-144,-896
144,-128,-896
144,-144,-896
144,-144,-896
144,-144,-912
144,-144,-912
144,-160,-912
144,-160,-912
160,-144,-944
144,-160,-976
144,-160,-976
144,-160,-976
144,-160,-976
144,-160,-976
144,-192,-976
144,-192,-976
128,-192,-992
128,-192,-992
144,-208,-1008
144,-208,-1008
144,-208,-1008
160,-192,-1040
144,-192,-1024
144,-192,-1024
144,-192,-1024
144,-192,-1024
160,-192,-1024
160,-208,-1024
160,-208,-1024
