x,y,z
-848,-32,-448
-832,-32,-416
-816,-32,-400
-816,-32,-400
-816,0,-416
-816,0,-416
-832,32,-432
-832,32,-432
-832,48,-480
-864,48,-432
-864,48,-432
-864,0,-368
-880,-64,-288
-880,-64,-288
-848,-144,-160
-848,-144,-160
-800,-192,-48
-704,-272,112
-704,-272,112
-512,-320,336
-512,-320,336
-256,-352,592
48,-320,944
48,-320,944
400,-144,1392
400,-144,1392
736,96,1824
1072,288,1728
1072,288,1728
1344,224,1280
1344,224,1280
1728,16,880
2048,-80,480
2048,-80,480
2048,-48,-144
2048,-48,-144
2048,-160,-720
2048,-784,-1408
2048,-784,-1408
2048,-640,-1632
2048,-640,-1632
2048,-384,-2048
2048,-144,-2048
2048,-144,-2048
2048,256,-2048
2048,256,-2048
2048,512,-1904
2048,560,-1184
2048,560,-1184
1808,400,-816
1808,400,-816
1584,80,-896
1408,-288,-1152
1408,-288,-1152
1264,-544,-1312
1264,-544,-1312
1120,-528,-1168
1056,-336,-912
1056,-336,-912
1040,-240,-816
1040,-240,-816
1056,-272,-800
1088,-304,-752
1088,-304,-752
1088,-272,-592
1056,-224,-400
1056,-224,-400
1008,-176,-272
1008,-176,-272
992,-144,-288
992,-128,-352
992,-128,-352
992,-128,-320
992,-128,-320
944,-208,-304
896,-320,-432
896,-320,-432
880,-256,-528
880,-256,-528
832,-112,-544
768,-16,-528
768,-16,-528
704,0,-608
704,0,-608
688,-48,-688
672,-112,-784
672,-112,-784
688,-160,-816
688,-160,-816
688,-176,-768
656,-208,-704
656,-208,-704
624,-240,-656
624,-240,-656
592,-256,-608
560,-272,-576
560,-272,-576
512,-352,-624
512,-352,-624
544,-320,-736
576,-256,-816
576,-256,-816
608,-208,-912
608,-208,-912
624,-208,-960
624,-208,-960
576,-224,-912
576,-224,-912
528,-240,-976
528,-288,-864
528,-288,-864
512,-304,-816
512,-304,-816
480,-288,-848
480,-288,-848
464,-272,-816
448,-256,-832
448,-256,-832
432,-256,-848
432,-256,-848
384,-304,-928
368,-304,-976
368,-304,-976
352,-336,-960
