x,y,z
-176,-80,-992
-176,-128,-944
-176,-128,-944
-176,-112,-992
-176,-112,-992
-176,-80,-976
-160,-64,-944
-160,-64,-944
-160,-80,-992
-160,-80,-992
-160,-80,-992
-160,-96,-944
-160,-96,-944
-144,-128,-960
-144,-128,-960
-144,-128,-960
-144,-160,-960
-160,-208,-960
-144,-240,-992
-144,-240,-992
-144,-224,-992
-144,-240,-992
-144,-240,-992
-128,-240,-976
-144,-272,-960
-144,-272,-960
-144,-240,-992
-144,-240,-992
-160,-304,-944
-176,-400,-880
-176,-400,-880
-176,-368,-976
-176,-368,-976
-144,-416,-928
-144,-416,-928
-80,-400,-992
64,-352,-912
64,-352,-912
256,-272,-800
528,-48,-656
528,-48,-656
704,208,-592
704,208,-592
1072,896,-752
1136,1664,-528
1136,1664,-528
1120,1872,-560
1120,1872,-560
1264,2048,-688
1440,2048,-656
1440,2048,-656
1632,2048,-704
1632,2048,-704
1856,1872,-768
2048,1344,-880
2048,1344,-880
2048,448,-960
2048,-512,-816
2048,-512,-816
2048,-1232,-832
2048,-1232,-832
2048,-2032,-1232
2048,-2032,-1232
2048,-2032,-1680
1664,-2032,-1456
1664,-2032,-1456
1200,-2032,-672
736,-1920,-544
736,-1920,-544
560,-1360,-976
560,-1360,-976
512,-816,-832
640,-576,-784
640,-576,-784
336,-976,-704
336,-976,-704
416,-672,-560
336,-576,-832
336,-576,-832
288,-592,-832
288,-592,-832
288,-592,-928
304,-448,-912
304,-448,-912
288,-384,-992
224,-432,-1024
208,-368,-1024
208,-368,-1024
176,-368,-1024
176,-352,-1008
176,-352,-1008
160,-272,-992
144,-256,-976
144,-256,-976
144,-240,-992
144,-240,-992
112,-256,-1008
112,-288,-1040
112,-288,-1040
112,-304,-1024
112,-304,-1024
176,-336,-1024
224,-304,-1040
224,-304,-1040
208,-288,-992
160,-320,-928
160,-320,-928
144,-368,-960
144,-368,-960
176,-320,-992
224,-256,-944
224,-256,-944
192,-160,-912
192,-160,-912
160,-144,-896
112,-192,-896
112,-192,-896
96,-240,-928
96,-240,-928
80,-240,-960
80,-192,-944
80,-192,-944
80,-144,-896
