x,y,z
-640,0,-736
-640,0,-736
-640,0,-720
-640,0,-720
-624,16,-736
-624,16,-720
-624,16,-720
-624,0,-704
-624,0,-704
-624,0,-688
-640,0,-704
-640,0,-704
-624,16,-688
-624,16,-688
-624,16,-656
-608,0,-640
-608,0,-640
-576,0,-592
-576,0,-592
-528,-32,-528
-528,-32,-528
-464,-48,-416
-400,-128,-208
-400,-128,-208
-368,-192,-64
-368,-192,-64
-272,-144,32
-176,-48,112
-176,-48,112
-96,96,192
-96,96,192
0,208,272
128,192,304
128,192,304
336,112,240
336,112,240
528,32,-80
784,-16,-368
784,-16,-368
960,16,-880
960,16,-880
1024,32,-1264
1024,48,-1424
1024,48,-1424
928,64,-1472
928,64,-1472
784,80,-1504
704,48,-1552
704,48,-1552
816,-16,-1584
816,-16,-1584
992,16,-1904
1120,80,-2048
1120,80,-2048
1152,160,-2048
1120,256,-2048
1120,256,-2048
1072,288,-1808
1072,288,-1808
1040,288,-1616
992,272,-1520
992,272,-1520
912,176,-1408
912,176,-1408
848,96,-1264
784,64,-1072
784,64,-1072
736,64,-912
736,64,-912
688,32,-768
656,16,-672
656,16,-672
656,0,-640
656,0,-640
656,32,-656
640,32,-656
640,32,-656
624,32,-672
624,32,-672
608,32,-656
608,16,-656
608,16,-656
608,0,-688
608,0,-688
608,16,-736
624,32,-768
624,32,-768
624,48,-800
624,48,-800
624,32,-800
624,32,-800
624,32,-816
608,16,-816
608,16,-816
608,0,-864
608,0,-864
608,32,-896
608,32,-880
608,32,-880
592,48,-864
592,48,-880
592,48,-880
592,48,-864
592,48,-864
592,64,-880
576,48,-880
576,48,-880
560,48,-864
560,48,-864
544,32,-832
544,48,-848
544,48,-848
512,48,-832
512,48,-832
512,48,-832
512,48,-848
512,48,-848
512,48,-848
512,48,-848
512,32,-848
512,16,-848
512,16,-848
512,32,-848
512,32,-848
528,32,-864
