x,y,z
-768,-80,-656
-768,-80,-656
-768,-80,-656
-768,-80,-656
-768,-64,-672
-768,-64,-672
-768,-64,-672
-768,-64,-656
-768,-64,-656
-752,-32,-672
-752,-32,-672
-752,-32,-656
-768,-32,-624
-768,-32,-624
-768,-48,-608
-768,-16,-608
-768,-16,-608
-736,16,-592
-736,16,-592
-736,0,-592
-736,-16,-560
-736,-16,-560
-736,-48,-480
-736,-48,-480
-720,-128,-288
-720,-128,-288
-448,-352,272
-176,-528,768
-176,-528,768
304,-224,1040
304,-224,1040
640,704,1184
816,1280,1200
816,1280,1200
944,1040,576
944,1040,576
1152,272,32
1456,-176,-928
1456,-176,-928
1744,-416,-2048
1744,-416,-2048
1760,-800,-2048
1472,-752,-2048
1472,-752,-2048
1168,-304,-2048
960,48,-2048
960,48,-2048
832,96,-2000
832,96,-2000
736,112,-1872
736,112,-1872
656,128,-1728
576,128,-1520
576,128,-1520
496,112,-1328
464,48,-1168
464,48,-1168
432,0,-992
432,0,-992
400,0,-960
400,0,-960
432,0,-960
432,0,-960
448,64,-880
432,96,-880
432,96,-880
464,144,-912
464,144,-912
480,176,-848
464,128,-832
464,128,-832
416,48,-864
416,48,-864
416,64,-976
384,16,-944
384,16,-944
368,0,-848
304,-32,-784
304,-32,-784
288,-32,-880
288,-32,-880
288,-16,-912
288,-16,-912
304,-16,-896
336,48,-960
336,48,-960
320,64,-864
304,32,-880
304,32,-880
320,32,-960
320,32,-960
320,32,-960
320,32,-960
320,0,-960
320,0,-944
320,0,-944
304,0,-928
304,-16,-912
304,-16,-912
320,-32,-944
320,-32,-944
320,0,-928
304,-32,-912
304,-32,-912
352,48,-960
352,48,-960
352,48,-944
352,48,-944
336,32,-896
336,32,-896
352,32,-944
352,48,-928
352,48,-928
336,16,-928
336,16,-928
352,0,-976
352,16,-960
352,16,-960
352,16,-960
352,16,-960
352,32,-960
352,32,-960
368,32,-944
368,48,-960
368,48,-960
368,64,-944
368,64,-944
368,48,-944
352,32,-960
352,32,-960
