x,y,z
-160,96,-992
-160,112,-992
-144,128,-1008
-144,128,-1008
-144,144,-1024
-160,80,-1008
-160,80,-1008
-176,64,-976
-176,64,-976
-160,80,-976
-160,80,-976
-160,64,-992
-160,80,-992
-160,80,-992
-160,64,-976
-192,32,-992
-192,32,-992
-176,48,-992
-176,48,-992
-176,64,-1008
-192,64,-1008
-192,64,-1008
-224,48,-1072
-224,48,-1072
-256,32,-1040
-272,-32,-992
-272,-32,-992
-224,-288,-1088
-224,-288,-1088
-112,-448,-1328
-144,-720,-1360
-144,-720,-1360
-32,-832,-1152
0,-1056,-1104
0,-1056,-1104
144,-1376,-736
272,-1520,-480
448,-1584,-624
448,-1584,-624
736,-1728,-1056
736,-1728,-1056
752,-1952,-1936
720,-1728,-1552
720,-1728,-1552
1136,-1472,-1824
1136,-1472,-1824
1584,-1056,-1216
1584,-1056,-1216
2048,-848,-1008
2048,-656,-480
2048,-656,-480
2048,-112,-64
2048,560,112
2048,560,112
2048,1280,-240
2048,1280,-240
2048,2032,-448
1664,2048,-288
1664,2048,-288
1248,2048,-192
1248,2048,-192
800,1504,-336
928,544,-544
928,544,-544
672,384,-880
640,768,-928
640,768,-928
448,608,-784
448,608,-784
368,544,-944
368,544,-944
304,432,-912
304,432,-912
304,416,-992
352,528,-976
352,528,-976
368,576,-944
368,576,-944
336,480,-944
368,400,-1024
368,400,-1024
384,320,-1120
400,352,-1184
400,352,-1184
448,416,-1136
448,416,-1136
480,480,-1072
480,480,-1072
464,464,-976
464,464,-976
464,464,-992
448,464,-992
448,464,-992
368,352,-1008
336,272,-1072
336,272,-1072
384,320,-1056
384,320,-1056
384,352,-992
384,352,-992
336,352,-912
304,304,-896
304,304,-896
288,272,-928
288,336,-928
288,336,-928
288,416,-912
272,400,-912
224,272,-848
224,272,-848
176,176,-880
144,224,-880
144,224,-880
128,256,-944
144,304,-896
144,304,-896
144,336,-944
144,336,-944
128,272,-944
64,32,-832
64,32,-832
-16,-224,-800
-16,-224,-800
-80,-240,-656
