x,y,z
-608,64,-784
-592,64,-784
-592,48,-784
-592,48,-784
-592,64,-784
-592,64,-784
-608,64,-784
-608,64,-784
-608,64,-784
-608,64,-800
-608,64,-800
-608,48,-784
-608,48,-784
-608,48,-784
-624,48,-768
-624,48,-768
-624,48,-752
-624,48,-752
-624,48,-752
-624,32,-736
-624,32,-736
-624,32,-752
-640,32,-704
-640,32,-704
-656,16,-640
-656,16,-640
-640,16,-656
-624,16,-656
-624,16,-656
-624,-32,-608
-608,-80,-480
-608,-80,-480
-576,-48,-176
-576,-48,-176
-544,-32,208
-544,-32,208
-496,-48,480
-496,-48,480
-416,-112,656
-336,-32,560
-336,-32,560
-256,-48,528
-256,-48,528
-144,-144,400
96,-80,224
96,-80,224
480,-32,144
1152,-128,-176
1152,-128,-176
1840,-112,-912
1840,-112,-912
2048,-64,-1296
2048,-64,-1296
2048,48,-1888
2048,48,-1888
2048,208,-2048
1824,96,-2048
1824,96,-2048
1584,-208,-1728
1584,-208,-1728
1504,-144,-1504
1504,-144,-1504
1472,48,-1360
1680,416,-1696
1680,416,-1696
1440,96,-1360
1440,96,-1360
1056,-144,-416
912,-80,-496
912,-80,-496
848,-32,-512
848,-32,-512
800,-144,-432
800,-176,-464
800,-176,-464
816,-160,-384
816,-160,-384
848,-80,-432
864,-96,-400
864,-96,-400
864,-128,-544
896,-96,-592
896,-96,-592
928,-80,-592
928,-80,-592
928,-80,-592
928,-80,-592
944,-48,-624
944,-32,-624
944,-32,-624
928,-48,-576
928,-48,-576
896,-80,-544
896,-64,-560
896,-64,-560
912,16,-640
912,16,-640
944,64,-704
912,0,-704
912,0,-704
912,-64,-688
912,-16,-800
912,-16,-800
928,32,-944
928,32,-944
912,0,-976
912,0,-976
912,48,-1056
912,96,-1024
912,96,-1024
880,64,-848
784,16,-832
784,16,-832
720,16,-800
720,16,-800
656,0,-848
608,0,-832
608,0,-832
528,0,-768
528,0,-768
448,-32,-704
352,-48,-688
352,-48,-688
288,-16,-720
288,-16,-720
