x,y,z
256,-32,-992
272,-32,-992
272,-16,-992
272,-16,-992
256,-32,-992
256,-32,-992
272,-32,-992
272,-32,-976
272,-32,-976
288,-32,-928
288,-32,-928
256,-32,-976
256,-48,-976
256,-48,-976
256,-48,-976
256,-48,-976
272,-48,-976
272,-32,-992
256,-16,-976
240,0,-944
240,0,-944
224,0,-928
176,-64,-976
176,-64,-976
128,-112,-1056
128,-112,-1056
208,-48,-1296
352,208,-1792
352,208,-1792
400,304,-2048
400,304,-2048
560,288,-2048
640,112,-2048
640,112,-2048
704,-32,-2048
896,64,-2048
896,64,-2048
992,224,-2048
992,224,-2048
1200,288,-2048
1424,320,-2048
1424,320,-2048
1696,144,-2048
1696,144,-2048
2016,-16,-2048
2048,-192,-2048
2048,-192,-2048
2048,-432,-1728
2048,-432,-1728
2048,-544,-992
2048,-160,-240
2048,-160,-240
1920,256,1200
1920,256,1200
1184,384,2032
1184,384,2032
640,-32,1904
464,-48,1664
464,-48,1664
288,144,1456
160,384,944
160,384,944
-128,208,432
-128,208,432
-272,208,128
-416,240,48
-416,240,48
-560,112,192
-688,64,336
-688,64,336
-736,96,480
-736,96,480
-816,48,656
-848,96,752
-848,96,752
-880,160,592
-880,160,592
-896,240,400
-944,224,240
-944,224,240
-960,240,208
-960,240,208
-976,256,272
-992,224,320
-992,224,320
-1008,176,352
-1008,176,352
-976,208,352
-960,224,320
-960,224,320
-928,240,304
-928,240,304
-912,256,288
-896,224,368
-896,224,368
-896,192,352
-896,192,352
-880,192,400
-864,160,416
-864,160,416
-864,160,400
-864,160,400
-848,144,384
-832,144,384
-832,144,384
-816,176,384
-816,176,384
-800,176,368
-784,176,368
-784,176,368
-768,160,384
-768,160,384
-736,128,416
-704,128,432
-704,128,432
-688,128,368
-688,128,368
-672,80,256
-672,16,240
-672,16,240
-688,0,240
-672,64,176
-672,64,176
